meta.code,en
ui.status.exportSetStatusDone,Exported the status set: 
ui.status.import,Import…
ui.status.importFileStatusNot,Could not import the status file (not valid JSON)
ui.status.importStatusNewList,Imported {0} new {0|status|statuses}
ui.status.loading,Loading...
ui.status.manageStatusScene,Manage scene statuses
ui.status.nameStatusNew,New status name
ui.status.notHasStatusDefine,No custom statuses yet
ui.status.notHasStatusNew,No new statuses to add (all duplicate existing ones)
ui.status.opened,Opened: 
ui.status.orphanOpt,{0} (removed from the list)
ui.status.readSetStatusFile,"Read a status set from a .json file (merged with the existing ones, nothing deleted)"
ui.status.ready,Ready
ui.status.recolorStatus,Change this status's colour
ui.status.saved,Saved
ui.status.saveSetStatusColor,Save the status set + colours as a .json file to use in other projects
ui.status.settingsSaved,Settings saved
ui.status.uiScale,UI size
ui.status.versionRestored,Version restored
ui.status.zoom,Zoom
ui.status.zoomReset,Zoom reset to 100%
ui.tabs.closeOthers,Close other tabs
ui.tabs.closeRight,Close tabs to the right
ui.tabs.copyPath,Copy file path
ui.tabs.inBook,Book {0}
ui.tabs.inBookChapter,Book {0} › Chapter {1}
ui.tabs.overflowList,All tabs
ui.tabs.pathCopied,Path copied: {0}
ui.tabs.pin,Pin tab
ui.tabs.reopenNone,No recently closed tabs to reopen
ui.tabs.revealInTree,Reveal in project tree
ui.tabs.revealNone,This tab has no file in the project tree
ui.tabs.revealNotFound,Could not find this file in the project tree
ui.tabs.unpin,Unpin tab
ui.tags.clickFilterExplorerShow,Click to filter the Explorer → show only scenes tagged: 
ui.tags.delTag,Delete this tag
ui.tags.filterTagF,Filtered by tag: {0} — the Explorer shows only scenes with this tag
ui.tags.list,List
ui.tags.manageVisualTags,Manage Visual Tags
ui.tags.nameTag,Tag name
ui.tags.notHasTagPut,No tags yet — add tags in scene properties or the Wiki
ui.tags.tag, tags
ui.tags.tag2,Tag: {0} ({1})
ui.tags.tag3,Tag cloud
ui.tags.tag4,Tags
ui.tags.tagAll,All tags
ui.tags.tagPaneReadTag,tag-pane: failed to read tags
ui.task.jobFailedF,auto-task: job {0} failed
ui.tbcfg.allOff,All off
ui.tbcfg.allOn,All on
ui.tbcfg.count,{0} of {1} {1|button|buttons} shown
ui.tbcfg.customize,Customize toolbar…
ui.tbcfg.grpAi,AI
ui.tbcfg.grpAlign,Alignment
ui.tbcfg.grpEdit,Edit
ui.tbcfg.grpExt,Extensions
ui.tbcfg.grpFind,Search
ui.tbcfg.grpInsert,Insert
ui.tbcfg.grpLayout,Panel sides
ui.tbcfg.grpPanels,Panels
ui.tbcfg.grpStory,Story tools
ui.tbcfg.grpStyle,Text style
ui.tbcfg.grpTabs,Tabs & layout
ui.tbcfg.grpView,View & modes
ui.tbcfg.hidden,Hid “{0}”
ui.tbcfg.hideThis,Hide “{0}”
ui.tbcfg.hint,Pick which buttons appear — changes apply instantly
ui.tbcfg.missing,(not on the bar)
ui.tbcfg.reset,Reset
ui.tbcfg.resetDone,Toolbar reset to defaults
ui.tbcfg.showAll,Show all buttons
ui.tbcfg.title,Customize toolbar
ui.textCase.aLtErNaTeCAsEToggleItem,aLtErNaTe cAsE — alternate lower/upper
ui.textCase.capitalizeCaseAllWord,Capitalize Case — capitalise every word
ui.textCase.iNVERSECASEBackItem,iNVERSE cASE — swap lower↔upper
ui.textCase.lowerCaseItemSmall,lower case — all lower case
ui.textCase.sentenceCaseSentenceItem,Sentence case — capitalise the start of sentences
ui.textCase.titleCaseStyleTitle,Title Case — like a title
ui.textCase.uPPERCASEItemBig,UPPER CASE — all upper case
ui.themes.claude,Terracotta (Claude Code)
ui.themes.dva,Gamer Pink (D.Va)
ui.themes.excel,Grid Green (Excel)
ui.themes.flower,Flower Garden
ui.themes.fruit,Fruit Salad
ui.themes.gundam,Tricolor Mobile Suit (Gundam)
ui.themes.kimi,Moonlight (Kimi)
ui.themes.lagoon,Sunny Lagoon
ui.themes.macintosh,Platinum (Classic Macintosh)
ui.themes.neonPop,Neon Pop
ui.themes.opencode,Terminal Peach (opencode)
ui.themes.plumWine,Plum Wine
ui.themes.powerpoint,Slide Brick (PowerPoint)
ui.themes.rainbow,Rainbow
ui.themes.sakuraMist,Sakura Mist
ui.themes.tropical,Tropical
ui.themes.vscode,Code Dark (VS Code)
ui.themes.word,Document Blue (Word)
ui.thes.close,Close
ui.thes.copied,Copied: 
ui.thes.notFound,"No synonyms/antonyms for """
ui.thes.selectWordFirst,Select a word first
ui.thes.thesaurusSearchNotOk,thesaurus: search failed
ui.timeline.addEvent,+ Add event
ui.timeline.addEventTip,Add a new event (or double-click empty space on the board)
ui.timeline.backLinks,{0} {0|link goes|links go} backwards in time (red dashes) — the cause happens after the effect; check it's intended
ui.timeline.boardHint,"Drag a card = move in time · drag an edge = stretch · drag the dot on its right = ""leads to"" link · Ctrl+click = open · Ctrl+wheel = zoom · drop characters/scenes from the Explorer"
ui.timeline.boardLabel,Timeline board
ui.timeline.cardMenu,Card actions
ui.timeline.clickEditEvent,Click to edit the event
ui.timeline.clickOpenScene,Click to open this scene
ui.timeline.colDesc,Description
ui.timeline.colKind,Kind
ui.timeline.colRefs,References
ui.timeline.colTitle,Title
ui.timeline.colTrack,Track
ui.timeline.colWhen,Start
ui.timeline.colWhenEnd,End
ui.timeline.delEventQ,"Delete the event ""{0}""?"
ui.timeline.dropSceneNoRef,"Scene cards can't take references — drop on an event card, or on empty space to create an event"
ui.timeline.editEvent,Edit event
ui.timeline.export,Export
ui.timeline.exportCsv,CSV table (Excel)
ui.timeline.exportDone,Timeline exported: {0}
ui.timeline.exportEmpty,The timeline is empty — nothing to export
ui.timeline.exportHtml,HTML page (opens in a browser)
ui.timeline.exportMd,Markdown (text)
ui.timeline.exportPng,PNG image
ui.timeline.exportTip,Export the timeline as an image / HTML / Markdown / CSV
ui.timeline.handleEnd,Drag to change the end time
ui.timeline.handleStart,Drag to change the start time
ui.timeline.hasDotEventTime,{0} {0|place|places} where events share the same time (highlighted orange) — check whether that's intended
ui.timeline.lineTime,Timeline
ui.timeline.linkAdded,Events linked
ui.timeline.linkCancel,Linking cancelled
ui.timeline.linkDotTip,Drag onto another card = this event leads to that one
ui.timeline.linkExists,These two cards are already linked
ui.timeline.linkFromHere,Link to another card…
ui.timeline.linkPickHint,"Click the card that ""{0}"" leads to (Esc = cancel)"
ui.timeline.linksHead,Links
ui.timeline.note, notes
ui.timeline.notHasEventPress,"No events yet — press ""＋ Add event"" or set a scene's ""Story time"" in its scene properties"
ui.timeline.nowLine,Open scene: {0}
ui.timeline.open,Open: 
ui.timeline.openScene,Open scene
ui.timeline.refAdded,"Added {0} as a reference of ""{1}"""
ui.timeline.refsMenu,Open a reference
ui.timeline.sceneTimeFail,Couldn't set the scene's time
ui.timeline.trackHide,"Hide the ""{0}"" track"
ui.timeline.trackShow,"Show the ""{0}"" track"
ui.timeline.undated,No time set
ui.timeline.undatedChipTip,Drag onto the board to set its time · double-click = edit
ui.timeline.undatedTray,No time yet ({0})
ui.timeline.unlink,Remove a link
ui.timeline.unlinkThis,Remove this link
ui.timeline.viewBoard,Board
ui.timeline.viewBoardTip,"Horizontal board — cards span their time range; drag to move, stretch and link"
ui.timeline.viewGanttMustHas,"The Gantt view needs events with a numeric time (e.g. ""Year 1024"") — there are none yet"
ui.timeline.viewList,List
ui.timeline.viewListTip,Vertical list in time order
ui.timeline.zoomFit,Fit to frame
ui.timeline.zoomIn,Zoom in (Ctrl+wheel)
ui.timeline.zoomOut,Zoom out (Ctrl+wheel)
ui.tip.about,"Shows the app version, credits, and the licences of the components it uses."
ui.tip.ai-analyzer,"Opens the AI analysis panel — pacing, character arcs, repeated words and more."
ui.tip.ai-assistant,"Lets AI expand, summarise or rewrite the selected text; you decide whether to use the result."
ui.tip.ai-chat,Opens the AI chat panel to talk about your writing. Each conversation is kept as a session in the project.
ui.tip.ai-chat-dialog,Opens the older AI chat dialog (from before the chat panel); it can answer questions about the project too.
ui.tip.ai-chat-new,Starts a new AI chat session. Earlier conversations stay in the session list.
ui.tip.ai-chat-toggle,Opens or closes the AI writing assistant panel; press again to close.
ui.tip.ai-consistency,Has AI check whether characters speak and act consistently with the Wiki and earlier scenes.
ui.tip.ai-dialogue,"Has AI draft a conversation between characters for a situation you describe, for you to rework."
ui.tip.ai-menu,"Opens one menu with every AI tool: AI Hub, writing assistant, chat, analyzer and Story Starter."
ui.tip.ai-plot,"Has AI look for contradictions and gaps in logic (plot holes), pointing to the scenes involved."
ui.tip.ai-settings,"Sets the AI provider, key, model and parameters shared by every AI feature."
ui.tip.ai-summary,Has AI summarise the whole project — for a refresher or a starting point for a synopsis.
ui.tip.ai-title,Has AI suggest titles from your content; pick one to set it as the project title.
ui.tip.ai-world,"Has AI build out your story world — geography, culture, history — and save the result as Wiki pages."
ui.tip.all-notes,Lists the quick notes from every scene in one place; click one to go to its scene.
ui.tip.auto-fit-width,"Turns automatic fitting on or off: the page shrinks to fit when the document panel is narrower than the page, and grows back when it widens (never above the zoom you set yourself)."
ui.tip.auto-sync,Turns the automatic tasks that keep project data up to date while you work on or off.
ui.tip.auto-sync:false,Turns off the automatic tasks that keep project data up to date.
ui.tip.auto-sync:true,Turns on the automatic tasks that keep project data up to date while you work.
ui.tip.backup-now,Backs up the whole project right now instead of waiting for the automatic backup. Good before a big rewrite.
ui.tip.blockStyle,Turns the whole paragraph into a heading level or a quote. Headings are what the navigation panel and table of contents read.
ui.tip.books,"Manage books and drafts — covers, blurbs, status, and drag to reorder."
ui.tip.branch-sync,Reads the choices written in this scene as [text] in square brackets and turns them into paths on the branch map.
ui.tip.branching,"Opens the branching story map, showing where each scene’s choices lead — for visual novels and story games."
ui.tip.changelog,See what each version of the app added or fixed.
ui.tip.chapter,Creates a new chapter in the book you choose and opens it. A chapter groups several scenes together.
ui.tip.chapters,"Opens the chapter manager — chapter covers, order, and statistics for every chapter in the book."
ui.tip.char-map,"Insert special characters that aren’t on your keyboard, such as typographic punctuation or symbols."
ui.tip.character,Creates a new character page in the Wiki from the character template — a place for the details you look up while writing.
ui.tip.cheatsheet,"Shows every keyboard shortcut on one page, reflecting your own settings."
ui.tip.check-update,"Checks for a newer version and always tells you the result, even when you are already up to date."
ui.tip.close-all-tabs,Closes every document tab. If any tab has unsaved changes you are asked first.
ui.tip.close-tab,"Closes the current tab, always asking first if it has unsaved changes."
ui.tip.comments,"Opens comments for the current scene — attach notes to text, reply, and resolve them."
ui.tip.compile,"Exports the manuscript through a workflow of steps you control — strip comments, merge chapters, add headings — before converting to the final file."
ui.tip.confirm-quit,"Quits the app. If anything is unsaved, you get a list to decide on first."
ui.tip.custom-status,"Add, rename or remove the scene statuses (draft, revising, done…) used across the project."
ui.tip.dashboard,"Opens the project dashboard — word count against your goal, scene status, and chapter lengths."
ui.tip.delete-line,Deletes the whole line the cursor is on in one go — no need to select it first.
ui.tip.dev-console,"Opens the Chromium developer tools, for tracking down why something misbehaves."
ui.tip.editor-redo,Reapply what you just undid — handy for flipping between two versions of a sentence.
ui.tip.editor-undo,"Step back through your edits, one change at a time, all the way to when you opened this scene."
ui.tip.export-blog,Exports a single formatted HTML page ready to paste into a blog or website.
ui.tip.export-draft,Exports the whole draft as a single Markdown file.
ui.tip.export-fdx,Exports the screenplay as a Final Draft (.fdx) file to continue in other screenwriting software.
ui.tip.export-hub,"Every way to export in one dialog: pick a destination, adjust the settings, and preview before saving."
ui.tip.export-json,Exports all project data as one JSON file — for backup or for other tools.
ui.tip.export-language-csv,Exports the app’s text as a CSV table (key · Thai · English) so translators can work in a spreadsheet.
ui.tip.export-panel,"Export a panel's content (timeline · map · boards · graphs, etc.) in the chosen format"
ui.tip.export-panel-layout,"Saves the current panel layout as a JSON file, to keep as a reference or attach to a panel bug report."
ui.tip.export-pdf,"Opens the export hub to make a PDF, with a preview before you save."
ui.tip.export-pdf-builtin,"Exports a PDF directly with the built-in PDF generator, bypassing the export hub."
ui.tip.export-rtf,Exports the screenplay as an RTF file that opens in Word and most word processors.
ui.tip.export-watermark,"Sets a watermark printed across every page of exported files — a recipient’s name, or the word DRAFT."
ui.tip.export-zip,"Packs the whole project folder into one ZIP file, for backup or sharing."
ui.tip.find,Finds and replaces inside the document you have open right now.
ui.tip.floorplan,Opens the floor plan for the current scene — pin where on the map this scene takes place.
ui.tip.fmt,"Text formatting — bold, headings, lists and so on; each button says which style it applies."
ui.tip.fmt:align:center,"Centres the text. Good for titles, dedications and short verse — poor for long body text."
ui.tip.fmt:align:justify,Stretches each line to touch both margins for a clean book-like edge — but can open wide gaps on lines with long words.
ui.tip.fmt:align:left,"Aligns text to the left margin. This is the default for body text: every line starts in the same place, so the eye finds the next line quickly."
ui.tip.fmt:align:right,"Aligns text to the right margin — typically for dates, bylines, or screenplay transitions."
ui.tip.fmt:bold,Makes the selected text bold. Use it to stress a key word — overuse it and nothing stands out.
ui.tip.fmt:clear,"Removes bold, italic, underline and colour from the selected text, leaving plain text."
ui.tip.fmt:code,"Turns the paragraph into a code block, shown in a monospaced font with no formatting inside."
ui.tip.fmt:heading:1,"Makes this paragraph a level-1 heading — the largest, usually a title or part name. In a screenplay the same key makes a scene heading."
ui.tip.fmt:heading:2,Makes this paragraph a level-2 heading — usually a chapter title.
ui.tip.fmt:heading:3,Makes this paragraph a level-3 heading — usually a section inside a chapter.
ui.tip.fmt:heading:4,Makes this paragraph a level-4 heading — the deepest level that still appears in the outline.
ui.tip.fmt:hr,Inserts a horizontal rule — for a time skip or a change of viewpoint within a scene.
ui.tip.fmt:italic,"Italicises the selected text — commonly used for inner thoughts, titles of works, and foreign words."
ui.tip.fmt:ol,Turns the selected paragraphs into a numbered list — for steps or anything with a required order.
ui.tip.fmt:paragraph,"Turns the paragraph back into body text, removing a heading or quote style."
ui.tip.fmt:quote,"Turns this paragraph into a block quote, indented with a bar on the left — good for letters or quoted passages."
ui.tip.fmt:strike,Strikes through the selected text — shows that something was cut while keeping it visible.
ui.tip.fmt:sub,Lowers the selected text — for chemical formulas and subscripts.
ui.tip.fmt:sup,Raises the selected text — for exponents and footnote reference numbers.
ui.tip.fmt:ul,Turns the selected paragraphs into a bulleted list — for items whose order does not matter.
ui.tip.fmt:underline,Underlines the selected text. Use sparingly in print — it reads harder than bold or italic.
ui.tip.fmtbar-align,Snaps the floating format bar to the top or bottom edge of the writing area; press again to switch.
ui.tip.fmtbar-here,"Brings the floating format bar to where your mouse is, so you don’t have to look for it."
ui.tip.fmtbar-lock,Locks the floating format bar in place so it can’t be dragged by accident; press again to unlock.
ui.tip.fmtbar-opacity,"Cycles the floating format bar through 100%, 50% and 5% opacity. A faded bar becomes solid again when you point at it."
ui.tip.focus-mode,"Hides everything around the writing area, leaving only the page, so you can write without distraction."
ui.tip.gallery,"Opens the project image library: organise albums, see where each image is used, and use images in scenes or the Wiki."
ui.tip.gallery-board,Opens an album’s mood board; drag images from the library to build the look and feel of the story.
ui.tip.gallery-dups,"Finds duplicate images in the library, to clean up files imported twice."
ui.tip.gallery-export-used,Exports only the images actually used in scenes or the Wiki to a folder you choose.
ui.tip.gallery-new-album,"Creates a new album in the image library, to group images — by character or location, say."
ui.tip.gallery-unused,Shows images in the library that aren’t used anywhere yet.
ui.tip.global-search,"Searches every scene, chapter and wiki page in the project at once. Supports AND, OR, NOT and field-specific queries."
ui.tip.goto,"Opens a box where you type a page or scene number, then jumps straight there. Handy in long documents."
ui.tip.goto-page,"Jumps to a given page in the open document, using the page numbers of the page view."
ui.tip.goto-page:1,Jumps back to the first page of the document.
ui.tip.goto-scene,Jumps to a given scene by its number — useful in screenplays with many scene headings in one file.
ui.tip.goto:page,"Opens a box to type a page number, then jumps to that page."
ui.tip.goto:scene,"Opens a box to type a scene number, then jumps to that scene."
ui.tip.home,"Opens the home screen — recent projects, and creating or opening another project."
ui.tip.import-language-csv,"Imports translations from an edited CSV file, merging them into the project’s language files with immediate effect."
ui.tip.import-script,"Imports a screenplay from Fountain, Final Draft (FDX), Celtx, Fade In or Adobe Story, with a preview first."
ui.tip.import-scrivener,"Imports a Scrivener (.scriv) project as a Killian project, keeping its chapters and scenes."
ui.tip.insert-image,Inserts a picture at the cursor. The file is copied into the project's Images folder for you.
ui.tip.insert-shortcode,"Inserts a shortcode that is replaced by a real value on export — the title, chapter name or date."
ui.tip.kanban,Opens a Kanban board of scenes by status. Drag a card to another column to change its status.
ui.tip.lang-fonts,"Choose fonts by character range — one font for Thai, another for Latin — for both prose and scripts."
ui.tip.line-numbers,Shows line numbers in the left gutter — useful when discussing or applying notes to specific lines.
ui.tip.location,Creates a new location page in the Wiki from the location template — for the look and feel of your settings.
ui.tip.maps,"Opens your story-world maps: pin characters and places, and nest maps from world down to city and room."
ui.tip.markdown-codes,Shows or hides the leading markdown codes (# > . @). Hidden reads cleaner; shown reveals the real structure stored in the file.
ui.tip.memo,"Creates a memo in the project for ideas, research, or anything that has no home yet — kept apart from the manuscript."
ui.tip.nbsp,Inserts a space that never breaks across lines — keeps things like a number and its unit together.
ui.tip.network,"Opens the Story Network — a relationship map of characters, places and items, in 2D or 3D."
ui.tip.new-entity,"Creates a new Wiki page in the chosen category, from that category’s template."
ui.tip.new-entity:characters,Creates a new character page in the Wiki from the character template.
ui.tip.new-entity:items,"Creates a new item page in the Wiki — weapons, artefacts, or anything important a character carries."
ui.tip.new-entity:locations,Creates a new location page in the Wiki from the location template.
ui.tip.new-entity:lore,"Creates a new lore page in the Wiki — history, religion, rules of magic, anything about how your world works."
ui.tip.new-from-template,Creates a new project from a template that already has a story structure and Wiki categories set up.
ui.tip.new-project,Creates an empty project in the folder you choose. Everything is stored as .md and .json you can edit outside the app.
ui.tip.next-tab,"Switch to the next tab in tab-bar order (wraps around at the end) · While typing a screenplay, the first key of this command cycles element types instead (Settings → Screenplay keys)"
ui.tip.onset-toggle,"For a ""problem scene"": switch between the original (read-only) and the revised version — colour bands and a ! in the margin mark what differs · print/export always use the revised version"
ui.tip.open-project,Opens an existing project folder — the one containing project.khn.json.
ui.tip.open-project-path,Opens a project from the recent projects list.
ui.tip.page-guides,"Shows dashed margin guides on all four sides, so you can see where text will sit on the printed page."
ui.tip.page-headers,"Sets the header printed on every page — title, author, or draft number."
ui.tip.page-numbers,Shows or hides page numbers in the top-right corner of screenplay pages.
ui.tip.page-setup,"Sets paper size, margins and script format — affecting both the screen and exported files."
ui.tip.pageView,"Choose how pages are shown: Normal for writing, Layout to see real page breaks, Draft for plain fast reading."
ui.tip.panel-system,"Choose which panels to show or hide, and see what each one is for."
ui.tip.panels-hide-all,"Temporarily hides every panel, leaving just the writing area. Press again to bring them back where they were."
ui.tip.panels-hide-left,Temporarily hides the panels on the left; press again to restore them.
ui.tip.panels-hide-right,Temporarily hides the panels on the right; press again to restore them.
ui.tip.panels-side-bottom,Hide panels docked below the writing area; press again to bring them back
ui.tip.panels-side-left,Hide every panel docked left of the writing area; press again to bring them back
ui.tip.panels-side-right,Hide every panel docked right of the writing area; press again to bring them back
ui.tip.panels-side-top,Hide panels docked above the writing area; press again to bring them back
ui.tip.pb-align-center,Centres the text inside the card horizontally.
ui.tip.pb-align-left,Pushes the text inside the card to the left. The card itself does not move.
ui.tip.pb-align-right,Pushes the text inside the card to the right.
ui.tip.pb-back,Sends the selected cards to the back of the stack.
ui.tip.pb-border,The card's border colour — marks an important card without changing its fill.
ui.tip.pb-connector,"Switches to the connector tool: click the source card, then the target."
ui.tip.pb-delete,Deletes the selected cards from the board — undo brings them back.
ui.tip.pb-duplicate,"Copies the selected cards, offset slightly."
ui.tip.pb-fill,The card's fill colour — faster to group things by eye than by reading names.
ui.tip.pb-fit,Zooms so everything on the board fits the screen at once.
ui.tip.pb-font-bigger,Grows the selected cards' text by one step.
ui.tip.pb-font-smaller,Shrinks the selected cards' text by one step.
ui.tip.pb-frame,Drops a frame to group an area — e.g. one act or one storyline.
ui.tip.pb-front,Brings the selected cards to the front of the stack.
ui.tip.pb-fullscreen,Expands the board to fill the window. Press Esc to leave.
ui.tip.pb-grid,Shows or hides the grid. It does not move anything.
ui.tip.pb-image,Puts a picture inside the selected card; with nothing selected it creates a new picture card.
ui.tip.pb-lock,Locks the card against accidental dragging or editing. Press again to unlock.
ui.tip.pb-redo,Reapplies what you just undid.
ui.tip.pb-snap,"When on, cards lock onto the grid when moved, drawn, or resized."
ui.tip.pb-sticky,"Drops a new sticky note in the middle of the view, ready to type."
ui.tip.pb-textcolor,The colour of the text inside the card.
ui.tip.pb-todo,Drops a checklist card — tick items directly on the card.
ui.tip.pb-undo,"Steps back through board edits, one at a time."
ui.tip.pb-valign-bottom,Pushes the text to the bottom of the card.
ui.tip.pb-valign-middle,Centres the text vertically in the card.
ui.tip.pb-valign-top,Pushes the text to the top of the card — good for tall cards with a picture below.
ui.tip.planner,"Opens the free-form planning board — lay out scene cards, notes and images, and connect them."
ui.tip.planner-align,"Aligns text inside planner cards left, centre or right."
ui.tip.planner-valign,"Aligns text inside planner cards to the top, middle or bottom."
ui.tip.planner-valign:bottom,Pushes the selection to the bottom edge. Planner board only.
ui.tip.planner-valign:middle,Centres the selection vertically. Planner board only.
ui.tip.planner-valign:top,"Pushes the selection to the top edge. Planner board only: several items align to their shared bounds, a single item aligns inside its frame."
ui.tip.plAuto,Re-arranges every card into a tidy grid — for when the board has become too messy to read.
ui.tip.player-history,Shows the sequence of choices made while play-testing a branching story.
ui.tip.player-mode,"Play-test a branching story as a reader, choosing at each scene to check every path actually works."
ui.tip.plBg,"Sets the canvas background: a plain colour, or an image with your choice of placement, blur and opacity."
ui.tip.plFit,Zooms and pans so that everything on the board fits the screen at once.
ui.tip.plFull,Expands the board to fill the window and hides every other panel. Press Esc or the same button to leave.
ui.tip.plGrid,"Grid settings: show/hide, spacing, dots or lines, and snap — which locks cards onto the grid both when moving and when drawing."
ui.tip.plJson,"Exports the whole board as a JSON file anywhere you like — cards, connectors, groups and settings included."
ui.tip.plNew,Starts a new blank board. Every board is a JSON file in the project's Planners folder.
ui.tip.plOpen,Switches to another board in this project. You are asked first if the current board has unsaved changes.
ui.tip.plPng,"Exports the board as a 2× PNG image, cropped to the area that actually has content."
ui.tip.plugin:k2test:hello,"A sample command from the test plugin, used to confirm plugins can register commands."
ui.tip.prev-tab,"Switch to the previous tab in tab-bar order (wraps around at the start) · While typing a screenplay, the first key of this command cycles element types instead (Settings → Screenplay keys)"
ui.tip.print,"Prints the open document with your page settings. If checking before printing is on, the script is checked first."
ui.tip.project-doctor,"Checks that the scene index matches the real files — finds orphan files, scenes sharing a file, ghost folders and broken file headers — and repairs them"
ui.tip.project-replace,"Replaces text in every scene and note of the project at once, with a preview first, skipping locked scenes"
ui.tip.project-setup,"Sets the work’s details — author, agent, copyright — used on title pages and in exported files."
ui.tip.prose-indent,Turns automatic first-line paragraph indents in prose on or off.
ui.tip.prose-setup,"Sets prose formatting — indents, line spacing, heading styles — on screen and in exported files."
ui.tip.quick-note,Jot down a thought without leaving the scene you are writing. All notes collect in the notes panel.
ui.tip.quick-open,Find any file in the project by typing part of its name and open it — no digging through the tree.
ui.tip.read-book,"Reads the whole book as one continuous, read-only document — good for a full read-through."
ui.tip.reading-mode,"Enters full-screen reading mode — hides every toolbar and panel, leaving only the page."
ui.tip.remove-elements,Removes every line of the chosen element types from the script at once — such as all notes before sending it out. Can be undone.
ui.tip.reopen-closed-tab,"Reopens the document you just closed. Press again to go further back, one tab at a time."
ui.tip.replace,Opens the find bar with the cursor already in the replace box. Applies to the document you have open right now.
ui.tip.reset-panels,Resets the panel layout to the app default — for when panels go missing or the layout gets muddled.
ui.tip.reveal-active,"Scroll the project tree to the open file, expand collapsed chapters/books and flash the row"
ui.tip.revert,Discards unsaved changes and reloads the content from the last saved file.
ui.tip.roster,Builds a cast-of-characters page for the book from the characters in the Wiki.
ui.tip.save,Saves the document in the current tab to its file.
ui.tip.save-all,"Saves everything with pending changes at once — document tabs, planner boards and branch plans."
ui.tip.save-as,Saves this tab’s content as a new .md file wherever you choose. The original file is left untouched.
ui.tip.scene,Creates a new scene in the chapter you choose. Scenes are the smallest unit of the story; each is its own .md file.
ui.tip.scene-numbers,"Shows or hides scene numbers on both sides of screenplay scene headings, on screen and in exports."
ui.tip.scratchpad,"Opens the quick notebook for jotting down passing thoughts, separate from the manuscript."
ui.tip.select-scene,"Selects the whole scene the cursor is in, from its heading up to the next one — for copying or moving scenes in a screenplay."
ui.tip.set-format,Switches the document between prose and screenplay mode.
ui.tip.set-format:prose,"Switches this document to prose mode — paragraphs, headings and lists."
ui.tip.set-format:screenplay,"Switches this document to screenplay mode — scene headings, action, characters and dialogue."
ui.tip.settings,"Opens project and app settings — saving, fonts, page setup, language and shortcuts."
ui.tip.show-log,"Opens the app’s activity log, to look into errors or attach to a bug report."
ui.tip.show-panel,"Opens the specified panel, or brings it into view if it is already open."
ui.tip.smart-manage,Review and remove words SmartType has learned — like a misspelled character name it picked up.
ui.tip.sp-auto-capitalize,Automatically capitalises the first letter of each sentence as you type in a screenplay.
ui.tip.sp-auto-correct-i,Automatically corrects a lone i to I in English screenplays.
ui.tip.sp-check-all,Checks the whole script’s formatting and lists every problem; click one to jump to that line.
ui.tip.sp-check-toggle,"Checks script formatting before every print or export, asking before continuing if problems are found."
ui.tip.sp-compare,"Compares two open documents line by line, showing what was added, removed or changed between versions."
ui.tip.sp-continued,Adds continuation marks (CONTINUED · MORE · CONT'D) automatically when a scene or speech breaks across pages.
ui.tip.sp-element,"Changes the element type of a screenplay line — scene heading, action, character, dialogue and so on."
ui.tip.sp-element-caps,"Choose which element types are forced to upper case, such as scene headings or character names."
ui.tip.sp-element:act-break,"Turns this line into an act break, marking a major division of the story."
ui.tip.sp-element:dialogue,"Turns this line into dialogue, placed under the character name with standard script margins."
ui.tip.sp-element:note,"Turns this line into a writer’s note — a reminder to yourself, not part of the script the actors read."
ui.tip.sp-element:parenthetical,"Turns this line into a parenthetical such as (whispering), placed between the character name and the dialogue."
ui.tip.sp-element:shot,"Turns this line into a shot, such as CLOSE ON — for when the camera angle genuinely matters."
ui.tip.sp-element:transition,"Turns this line into a transition such as CUT TO:, right-aligned in standard script format."
ui.tip.sp-extension,"Adds an extension after a character name, such as (V.O.) for voice-over or (O.S.) for off-screen."
ui.tip.sp-find-error,Jumps to the next place the script checker flags as incorrectly formatted.
ui.tip.sp-force-case,"Forces standard upper case on scene headings, character names and transitions. Turn off to type as you like."
ui.tip.sp-report,"Opens a screenplay report — characters, locations, or the dialogue chart."
ui.tip.sp-report:character,Reports which scenes each character appears in and how much they speak.
ui.tip.sp-report:chart,A chart of how much each character speaks on every page.
ui.tip.sp-report:location,Reports which scenes use each location — handy for planning a shoot.
ui.tip.sp-show-format,"Shows element outlines and end-of-line marks, so you can see what type each line is."
ui.tip.sp-thai-font,Switches screenplays to a Thai font instead of the standard monospaced script font.
ui.tip.sp-view,"Changes how the document is displayed — normal, draft, layout, side by side, or overview."
ui.tip.sp-view:draft,Draft view: plain text with no pages or scene numbers — for writing fast.
ui.tip.sp-view:layout,"Layout view: shows the real page breaks, exactly as in the exported file."
ui.tip.sp-view:normal,Normal view: write on one continuous page without page breaks.
ui.tip.sp-view:overview1,"Tightest overview, 1px per character — see the shape of the story and how dense each page is."
ui.tip.sp-view:overview4,Overview at 4px per character — still shows page structure and scene headings.
ui.tip.sp-view:side,"Shows pages in pairs, like an open book."
ui.tip.spElem,"The screenplay element for this line (scene heading, action, character, dialogue) — it sets the margins and capitalisation."
ui.tip.split-add,"Adds another split pane; you can nest several, both side by side and stacked."
ui.tip.split-close,Merges the split panes back into a single writing area.
ui.tip.split-view,"Splits the writing area in two, to compare two documents or view two places in the same scene."
ui.tip.split-view:down,Splits the writing area into top and bottom panes.
ui.tip.split-view:right,Splits the writing area into left and right panes.
